"","Proj_2015.0103_MBD_dis_indent_A_T6h30","Proj_2015.0103_MBD_dis_indent_B_T6h30","Proj_2015.0103_MBD_dis_indent_C_T6h30","Proj_2015.0105_N6549xMBD_dis_indent_B_T6h30","Proj_2015.0105_N6549xMBD_dis_indent_C_T6h30","Proj_2015.01.20_N6549xMBD_indent_B_T6h30","Proj_2015.01.22_MBD_dis_indent_A_T6h30","Proj_2015.01.22_MBD_dis_indent_B_T6h30","Proj_2015.01.22_MBD_dis_indent_C_T6h30","Proj_2015.01.24_MBD_dis_indent_A_T6h30","Proj_2015.01.24_MBD_dis_indent_B_T6h30","Proj_2015.01.24_MBD_dis_indent_C_T6h30","Proj_2015.01.25_MBD_dis_indent_A_T6h30","Proj_2015.01.25_MBD_dis_indent_B_T6h30","Proj_2015.01.25_MBD_dis_indent_C_T6h30","Proj_2015.01.25_MBD_dis_indent_D_T6h30","Proj_2015.01.26_bot1.7xMBD_dis_indent_A_T6h30","Proj_2015.01.26_bot1.7xMBD_dis_indent_B_T6h30","Proj_2015.01.26_bot1.7xMBD_dis_indent_C_T6h30","Proj_2015.01.27_bot1.7xMBD_dis_indent_B_T6h30","Proj_2015.01.27_bot1.7xMBD_dis_indent_C_T6h30","Proj_2015.01.28_bot1.7xMBD_dis_indent_C_T6h30","Proj_2015.01.30_N6549xMBD_dis_indent_A_T6h30","Proj_2015.01.30_N6549xMBD_dis_indent_B_T6h30","Proj_2015.01.31_N6549xMBD_dis_indent_A_T6h30","Proj_2015.01.31_N6549xMBD_dis_indent_D_T6h30","Proj_2015.04.04_GFP.tua_dis_indent_A_T7h","Proj_2015.04.04_GFP.tua_dis_indent_C_T7h","Proj_2015.04.05_GFP.tua_dis_indent_B_T7h","Proj_2015.04.05_GFP.tua_dis_indent_C_T7h","Proj_2015.04.06_GFP.tua_dis_indent_B_T7h","Proj_2015.04.06_GFP.tua_dis_indent_C_T7h"
"1",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
"2",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"5",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"6",1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"10",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"13",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"14",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"15",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"17",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"19",1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
